id,summarized,text,root,length,emotion
hit:2_conv:4_uttr:1,0,I have never cheated on my wife.,cheat,8,faithful
hit:2_conv:5_uttr:1,0,"Job interviews always make me sweat bullets, makes me uncomfortable in general to be looked at under a microscope like that.",make,23,terrified
hit:4_conv:8_uttr:1,0,I lost my job last year and got really angry.,lose,11,angry
hit:5_conv:11_uttr:1,0,"My coworker is allowed to work remotely, but I am not...",allow,13,jealous
hit:7_conv:14_uttr:1,1,A man came to me from behind giving me back my wallet.,come,13,grateful
hit:7_conv:15_uttr:1,0,People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.,reject,23,sad
hit:10_conv:21_uttr:1,0,I never thought things would go like this.,think,9,angry
hit:11_conv:23_uttr:1,0,"So last week we were watching the world cup, and lo and behold, Croatia beat the host country, Russia",watch,22,excited
hit:13_conv:26_uttr:1,0,"I found myself divorced a few years ago, and for the first time in my life, I was living alone.",find,23,lonely
hit:13_conv:27_uttr:1,1,I felt proud when I had accomplished a dream that I wanted to do for a long time.,feel,19,proud
hit:14_conv:29_uttr:1,0,Planning out my new home has turned out to be a blast!,turn,13,joyful
hit:15_conv:30_uttr:1,0,I never took a drink before and my friends were all over me to take a drink,take,17,ashamed
hit:16_conv:33_uttr:1,1,I'm nearing 40 and I find myself thinking a lot about my teen years and early twenties.,near,19,nostalgic
hit:17_conv:34_uttr:1,1,A year ago I spent a lot of time doing research for an article.,spend,15,confident
hit:19_conv:39_uttr:1,1,I left his fridge completely empty and feel guilth,leave,9,guilty
hit:22_conv:44_uttr:1,0,"I am an English Tutor for Chinese students, when they struggle with a topic, I always take extra time to help them along and make sure they understand",take,30,caring
hit:24_conv:48_uttr:1,1,It always makes me remember them as babies.,make,9,sentimental
hit:25_conv:50_uttr:1,1,"My wife and I decided to go on an iternational trip last year, and it was my first trip out of the US.",decide,25,excited
hit:27_conv:54_uttr:1,0,You are never going to believe what I did,go,9,trusting
hit:28_conv:56_uttr:1,0,I hate to be tired and see a store crowded with customers and only one or two checkouts open.,hate,20,disgusted
hit:29_conv:58_uttr:1,0,So our new manager has changed our bonus structure causing us to never hit bonus..,change,16,angry
hit:30_conv:61_uttr:1,0,"i bumped into a car while reversing, i had to wait long to talk to owner of the other car",bump,21,anxious
hit:31_conv:63_uttr:1,0,I was having a bad day the other day but my spouse went and surprised me with my favorite food.,have,21,nostalgic
hit:32_conv:65_uttr:1,0,"I like getting things done in the yard,but I feel so dirty afterwards.",like,16,proud
hit:37_conv:75_uttr:1,1,My marriage give me hopefulness about the life.,give,9,hopeful
hit:39_conv:78_uttr:1,0,"My handyman keeps telling me he's coming by to fix my leaky sink, but he never shows up when he says he will, ugh.",keep,28,furious
hit:41_conv:83_uttr:1,0,So the other day my daughter went potty for the first time on her own!,go,16,proud
hit:43_conv:86_uttr:1,1,I traveled a few months ago and didnt realize how much planning is involved!,travel,16,prepared
hit:44_conv:88_uttr:1,1,Turns out we may have to shut down in the next few months.,turn,14,afraid
hit:44_conv:89_uttr:1,0,"The other day I got a bonus from work, which was amazing because i have recently got behind in bills.",get,22,surprised
hit:45_conv:90_uttr:1,1,So I went to see the new Marvel movie with Thanos.,go,12,excited
hit:47_conv:95_uttr:1,1,I cant wait.,wait,5,excited
hit:48_conv:96_uttr:1,1,Guess what happened...,guess,4,embarrassed
hit:48_conv:97_uttr:1,0,So last night I was driving down this road and my car died and I had no lights.,drive,19,terrified
hit:50_conv:100_uttr:1,0,I have been going to school for whar seems like forever.,go,12,hopeful
hit:50_conv:101_uttr:1,0,"Recently, I have been annoyed by a coworker making jokes about me.",annoy,14,annoyed
hit:52_conv:104_uttr:1,1,I really dislike my neighbors.,dislike,6,annoyed
hit:52_conv:105_uttr:1,0,So last Friday I was driving home from work and this guy just cuts me off in traffic.,drive,19,furious
hit:53_conv:106_uttr:1,0,"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride.",lose,27,afraid
hit:53_conv:107_uttr:1,0,"So this is going to sound crazy but, one day I am going to win the lottery.",go,19,hopeful
hit:54_conv:108_uttr:1,1,I will pass a examen next monday.,pass,8,prepared
hit:55_conv:111_uttr:1,1,It scares me that I could lose my home.,scare,10,terrified
hit:57_conv:114_uttr:1,0,Recently someone offered me an extreme amount of money for a work at home job...,offer,16,apprehensive
hit:58_conv:116_uttr:1,0,Last night I went into my kitchen and ate all of my kids cookies.,go,15,guilty
hit:58_conv:117_uttr:1,0,I have lived in my apartment for 5 years now.,live,11,lonely
hit:59_conv:118_uttr:1,0,"I recently moved to my dream location, but it sucks not knowing anyone.",move,15,lonely
hit:59_conv:119_uttr:1,0,"so i saw a snake outside my apartment today, i hate snakes, so disgusting eww",hate,17,disgusted
hit:61_conv:123_uttr:1,0,"I was mowing the lawn, and a rock flew and broke my neighbor's window.",mow,17,ashamed
hit:62_conv:124_uttr:1,0,I hadn't worn a bathing suit in maybe 5 uears until recently.,wear,14,confident
hit:62_conv:125_uttr:1,0,My grandmother passed away unexpectedly a few years ago.,pass,10,sad
hit:63_conv:127_uttr:1,0,"My friend called someone a bad name, he really mad me upset.",mad,14,disgusted
hit:64_conv:129_uttr:1,1,I cant wait to relocate and move again.,wait,10,anxious
hit:66_conv:132_uttr:1,1,"I went to the optometrist, and my prescription got strong.",go,12,afraid
hit:66_conv:133_uttr:1,1,My old high school is being sold and turned into an old people's apartment complex.,sell,17,nostalgic
