id,summarized,text,root,length,emotion
n26geu,0,I hate myself for sweating so much,hate,7,embarrassed
n24fk1,0,Today I finish to pay my loan,finish,7,prepared
n24aj9,0,I want to cry,want,4,sad
n239v5,0,Almost got frauded on,fraude,4,guilty
n22ycl,0,Got a Girls Number,got,4,jealous
n22xq6,0,Just realized it’s my cake day today,realize,8,surprised
n21ce1,0,Today my insecurities saved the day!,save,7,proud
n20ths,1,I’ve replaced all drinks with water.,replace,8,prepared
n20f3h,1,Just moved away from home for the first time .,move,10,sad
n1zdku,0,Old People Make Me Happy,make,5,joyful
n1yybo,0,Sending love to those who live alone,send,7,caring
n1wq1x,1,I really need good advices right now.,need,8,trusting
n1w2y4,1,Now to avoid credit cards....,avoid,6,prepared
n1uls6,1,I feel like getting up and singing!,feel,8,anticipating
n1udg9,0,I injured the roof of my mouth with pizza,injure,9,embarrassed
n1sfco,0,I accidentally used my mother’s toothbrush twice.,use,9,embarrassed
n1s5il,0,I really miss hugs,miss,4,sentimental
n1rqpq,1,I feel like this been quite good for me.,feel,10,proud
n1qj51,0,Modern Family makes me feel at home.,make,8,content
n1qe2w,1,I love Pad Thai!,love,5,proud
n1ovrg,0,"I made a cold, burnt sandwich at 3 AM",make,10,devastated
n1lsiw,0,Kids meeting new partners,meet,4,excited
n1lpu3,0,Ghostbusters catch him,catch,3,surprised
n1lib3,0,I think my best friend is getting tired of me,think,10,sad
n1lbls,0,Today is my birthday and my Fiance forgot,forget,8,disappointed
n1j2sa,0,I got a 2 dollar raise today!,get,8,excited
n1iakg,0,I need help,need,3,trusting
n1gdvx,0,Finally felt inspired enough to draw today!,inspire,8,confident
n1c1mz,0,I love when strangers are nice,love,6,grateful
n1buj7,0,Quarantine has made me more tech savvy with Windows.,make,10,prepared
n1bj52,0,I want to be a Paramedic,want,6,hopeful
n1av1p,0,I’m incapable of talking with someone I care about,be,10,sad
n18e42,0,I'm going to work on the Tokyo games!,go,10,anticipating
n15t6a,1,Kinda makes me feel weak.,make,6,acknowledging
n15p84,1,Feeling even worse now.,feel,5,sad
n14qj6,1,Im turning 25 this year.,turn,7,sentimental
n13vvy,0,There’s something really beautiful about planes at night.,’,10,nostalgic
n12lzr,0,I called in sick,call,4,guilty
n110js,0,I paid off my loans today,pay,6,proud
n10qlp,1,"I've tried vacuuming, leaving one light on.",try,10,annoyed
n0yjua,1,"Now I feel humiliated, rejected and stupid.",feel,9,embarrassed
n0wvmm,0,Checked in on my friend today,check,6,grateful
n0utld,0,I think my tattoo artist was surprised today.,think,9,surprised
n0upbf,0,I just finished my masters degree,finish,6,proud
n0i1hm,0,I hate self-teaching,hate,5,embarrassed
n0hojf,0,I absolutely love different features.,love,6,jealous
n0gole,0,I am hesitating to go back to work.,hesitate,9,apprehensive
n0aqse,1,Every LEP transaction also generates a burn of tokens.,generate,10,faithful
n07s7j,0,I just walked out of therapy.,walk,7,sad
n070t2,0,Knowing you are doing a good job.,know,8,confident
n06ydc,1,I want to start selling feet and hand pics.,want,10,confident
n0577i,1,Turned 115 years old today Not really.,turn,8,sentimental
n047ot,1,Please entertain me lol,entertain,4,annoyed
n046qh,0,Loud ass neighbors 😒,😒,4,angry
n0251q,0,My favorite coworker put in her resignation today.,put,9,disappointed
n01nky,0,Replacing leafy greens withhhh carrot!,replace,6,nostalgic
mzy7wr,0,I finally landed the girl of my dreams,land,8,excited
mzvt39,0,I failed college and I feel free.,fail,8,proud
mzvj4x,0,I just want to be happy,want,6,joyful
mztfwh,0,"Today, I chose myself.",choose,6,confident
mzk2n4,0,we are never getting back togethe,get,6,sad
mzhxun,0,I love people and there boring hobbies,love,7,jealous
mzhty6,0,Today I got my first dose of the vaccine!,get,10,excited
mzh49v,0,Hoping for some perspective after COVID related disagreement,hope,8,consoling
mzdbgm,0,I Negotiated a Deal!,negotiate,5,proud
mzc9u0,0,I actually started selling my artwork on my own!,start,10,proud
mzc1xe,0,Kids say the strangest things,say,5,annoyed
mza58l,0,I can't sleep,sleep,4,sad
mz753p,0,I hope in the next Toy Story movie...,hope,9,hopeful
mz4bcg,1,I thought the new collection is pretty cute.,think,9,acknowledging
mz3sml,1,I LIKE ROMANCE BOOKS.,like,5,jealous
mz3ke2,1,I could never explain how or why that happened.,explain,10,surprised
mz30hl,0,Tell me your problems so that i can forget mine,tell,10,suggesting
mz2zii,1,It feels unattainable.,feel,4,acknowledging
mz2uqi,1,pls help a sis out 🥺,help,6,caring
mz2ekk,0,I am going to decorate my room,go,7,prepared
myqazr,0,Food delivery is slowly fucking things up for me.,fuck,10,annoyed
mymuwn,1,Phone repair guy broke my iPhone.,break,7,furious
mymch2,0,My allergies are killing me,kill,5,sad
mylqi0,0,I’m angry.,be,4,angry
mykn7h,0,I have pushed everybody,push,4,angry
mykdsx,1,Almost seems like divine intervention.,seem,6,acknowledging
mygwmc,0,I hate how sensible headphones are,hate,6,angry
myefs7,0,Today I found out I had a hidden talent,find,9,surprised
mydqdf,0,I got kittens,get,3,excited
myc9z5,0,Someone I’ve never met before noticed my haircut,notice,9,surprised
myc47d,0,I'm finally accepting that I'm nonbinary!,accept,9,proud
mybrq3,0,I much prefer night time compared to the day.,prefer,10,content
mybhxb,0,I guess I just want some comfort,guess,7,caring
my33nh,0,A full circle of kindness was made today!,make,9,grateful
my2tn1,1,I pity the people from good families.,pity,8,caring
my160j,0,Today I bought plane tickets,buy,5,anticipating
my0vka,0,Made toasted marshmallows with my dad,make,6,sentimental
my0bat,0,i dont understand trends anymore,understand,6,sad
mxu1js,0,i think our attention spans are getting shorter,think,8,suggesting
mxtg2d,0,Everyone confuses me with a girl,confuse,6,annoyed
mxrxsf,0,I tried to put up a curtain by myself today,try,10,embarrassed
mxplgd,1,"Doge is pronounced ""doggy"".",pronounce,7,disgusted
mxph70,0,I got into my dream school,get,6,proud
mxnmda,0,I need a vacation!,need,5,excited
mxncox,0,Got myself a new core memory tonight,get,7,prepared
mxllh2,0,I keep on having different versions of the same dream,keep,10,sad
mxktph,0,I miss getting film developed.,miss,6,jealous
mxk4lf,1,Stay safe!,stay,3,trusting
mxhids,0,Hit on by an homosexual,hit,5,guilty
mxg15x,0,I just applied for my first job,apply,7,confident
mxfhmp,1,I wanted to tell someone!,want,6,anticipating
mxet1y,0,Just got a call for a job after one year,get,10,excited
mxdsw5,1,I hate bras with a passion,hate,6,jealous
mxaum8,0,Got to Work Early,got,4,prepared
mxatlg,0,My friend invited me but he never came,invite,8,disappointed
mx5san,1,I miss going to class.,miss,6,nostalgic
mx52ra,0,Looking to make friends.,look,5,hopeful
mx1cwl,0,I went outside for the first time in months.,go,10,joyful
mwy1eo,0,Finding the next step,find,4,hopeful
mwy0f1,0,I miss blogs without affiliation,miss,5,jealous
mwxk1g,0,I hate my relatives on my mother's side.,hate,10,jealous
mwvsue,0,I cracked my phone screen and now I'm sad,crack,10,sad
mwv0ek,1,I got my 2nd covid shot.,get,7,proud
mwqbg6,0,I always look forward to dreaming at night.,look,9,anticipating
mwoph6,0,Just saw my dad today after almost 2 years.,see,10,sentimental
mwncio,0,Bee hit my face during work,hit,6,furious
mwn9bs,0,I get emotional watching or reading sentimental posts.,get,9,sentimental
mwmwlu,0,Therapists and psychologists look very quiet and dreamy.,look,9,afraid
mwk684,0,I brushed my teeth today.,brush,6,proud
mwjn4r,1,I just want to kno,want,5,caring
mwh3u2,0,Living in the boonies and shipping.,live,7,content
mw9hfj,0,Social media is destroying all sense of experience and wisdom,destroy,10,devastated
mw7kpq,0,Prince said it best,say,4,proud
mw7fxb,1,Please wear your masks.,wear,5,prepared
mw73ey,0,I need friends to learn music theory with...,need,9,confident
mw5ae5,1,I said I could wait.,say,6,anticipating
mw4s6j,0,I’m going to be a manager soon,go,8,confident
mw459o,0,Conversation with Rogers rep made me smile.,make,8,joyful
mw1jdw,0,"Loyal, funny, smart, you name it.",name,10,proud
mw0khx,0,Feeling very hopeful about work tomorrow..!,feel,8,hopeful
mw0hiw,1,I never understood the appeal of looking rich.,understand,9,jealous
mw0g0p,0,Tbh.. a lot of mods be the biggest bitches,be,10,furious
mvzqaz,0,School sucks,suck,2,agreeing
mvyg35,0,I’ve just gotten an aspiration to write!,get,9,hopeful
mvydcw,0,Some of your whole days have been forgotten,forget,8,sad
mvy4e9,0,I desperately want to take up a project,want,8,anticipating
mvwkxq,0,I’m 41 and just got my associates degree,be,9,proud
mvup84,0,Got a compliment at work today and it felt nice,got,10,impressed
mvu69e,1,Today I found people like me!,find,7,proud
mvtobj,1,"Just finished my first ""successful"" Twitch stream!",finish,10,proud
mvt12p,0,Feel like I got called out on Social Media,feel,9,ashamed
mvp4sw,0,Looking to connect with a random human,look,7,hopeful
mvmqqq,0,Most people do not realise how finite we are.,realise,10,surprised
mvm5m4,0,Just discovered haiku's,discover,4,surprised
mvm2za,0,Craving sushi after eating sushi,crave,5,anxious
mvlve0,0,I want to know what the norm is on this,want,10,questioning
mvlj6y,0,I feel very nervous posting on social media almost pretentious,feel,10,anxious
mvli8g,1,Dog's can tell if people have seizures.,tell,9,afraid
mvkznf,0,Trading stocks stresses me out for some inexplicable reason,stress,9,annoyed
mvkjra,0,My boss just said I was doing some good work,say,10,proud
mvfpkc,0,Industrial thinking may fry my brain,fry,6,apprehensive
mvfmfk,0,Please make me feel better,make,5,caring
mvdkye,1,I want to talk to someone.,want,7,anticipating
mvbqtu,1,You literally cant.,can,5,agreeing
mvbcx1,0,I love playing chess,love,4,confident
mv6u2y,1,I drank a glass of Chocolate Milk.,drink,8,guilty
mv629q,1,It hurts like hell.,hurt,5,sad
mv4n97,0,I’m so bored,be,4,sad
mv4lnt,0,I love to cook.,love,5,confident
mv27ey,0,I am spiraling...,spiral,4,sad
mv1paw,0,I often feel like people don't really know me,feel,10,annoyed
mv1j93,1,Wish me luck.,wish,4,wishing
muyidx,0,I want to marry a Japanese.,want,7,hopeful
muyaoo,1,feel free to vent.,feel,5,trusting
mutw11,0,Feeling weird about a clothing situation,feel,6,apprehensive
murrda,0,I got the house!,get,5,proud
murpcf,0,I find my partner attractive,find,5,jealous
murgg5,0,Help me out of this paradox,help,6,suggesting
mul8d0,0,I have become a bit anti-gun...,become,9,ashamed
mujg2k,1,Kinda excited kinda anxious.,excite,5,anxious
muj9td,0,I just discovered my new favorite song,discover,7,excited
muihz6,1,Look for the small things.,look,6,hopeful
muif22,1,"Beforehand, I messaged people saying my goodbyes.",message,9,sentimental
mugq33,0,Watching John Wick Movies,watch,4,excited
mueurf,0,I’ve been thinking about going bald!,think,8,apprehensive
mudlj3,1,Lately I feel like I wanna kill myself.,feel,9,sad
mudeg4,1,im home from college and hungry.,be,8,sad
muao5y,0,I feel like I'm getting happier each day,feel,9,joyful
mu8wow,0,I liked my reflection in the mirror,like,7,proud
mu4ywn,0,Change your passwords,change,3,trusting
mu4kt2,0,I shaved my head,shave,4,proud
mu4gbc,0,"Got declared medically unfit due to ""gynaecomastia.""",declare,10,sad
mu3uy6,0,Getting my wisdom teeth removed awake in 2 days,get,9,anticipating
mu1qk3,1,"Stayed home, followed every last protocol.",follow,8,trusting
mtum0u,1,Decided to take the high road.,decide,7,confident
mtuh8z,1,I mean RED and HOT.,mean,6,acknowledging
mtu5r7,0,Heartbroken over someone I hardly know,Heartbroken,6,sad
mttyei,1,Everyone say congratulations.,say,4,wishing
mtty83,0,I just got a job trial!,get,7,excited
mtrsly,1,I enjoyed the time I spent cleaning my car.,enjoy,10,joyful
mtrndz,0,I've never lost a friend like this before,lose,9,devastated
mtrc72,0,Growing Up,grow,2,nostalgic
mtr6om,0,My sister tried to kill herself,try,6,sad
mtqh2b,0,Someone complimented my hair,compliment,4,impressed
mtpwwi,1,Love hear your story.,hear,5,caring
mtogvv,1,Please tell me someone else feels this way lol,tell,9,questioning
mto5p3,0,I finally planted my first berry plants.,plant,8,excited
mtm0aq,0,I'm quitting my job tomorrow!!,quit,8,excited
mtl8tq,0,I don't feel my age,feel,6,embarrassed
mtd508,0,Im going to make people dislike me,be,8,confident
mtb5zw,1,I badly want that job too!,want,7,caring
mtb00k,1,Ask away.,ask,3,questioning
mtani6,0,I’m really thankful for the internet today,be,8,grateful
mtai9k,1,I know people are tired of the pandemic.,know,9,sad
mta8xi,1,I haven’t had the best luck with relationships.,have,10,sad
mt8z0l,0,Please let me learn,let,4,encouraging
mt8ovt,1,I want to build things.,want,6,confident
mt6b8b,0,I need some help on this,need,6,prepared
mt67zi,0,I like this planet,like,4,joyful
mt5xz5,0,I'm getting eye bags,get,5,terrified
mt5pag,0,Looking to chat now,look,4,hopeful
