id,parent_id,summarized,text,length
ffe5zd3,eszhg0,1,Thanks everyone for your replies.,6
dliuzx3,6t6l09,1,Thanks everyone for your responses!,6
e68mlmd,9h1cuu,0,Thank you for all your responses!,7
dqmuo5f,7gymnx,1,Thanks for all the answers everyone!,7
ftpyw91,h117l7,0,Thanks for the answers everyone!,6
hbxum8e,pj09oi,1,Thanks everyone for replying.,5
e7fqf9o,9mm8a8,1,Thanks for all the replies!,6
dok7sai,779sny,1,Thank you everyone for your responses.,7
e2lfbh9,8zrgkp,0,Thanks everyone for the replies,5
dqf7vo0,7fvrox,0,Thanks for the responses everyone!,6
e3doz50,93je80,1,Interesting.,2
dh2vwqi,690x57,1,Pretty neat.,3
ei8ncst,azedgi,1,Really fascinating honestly.,4
hit:391_conv:782_uttr:2,hit:391_conv:782_uttr:1,1,Interesting!,2
e3g80t6,93v47c,0,Fascinating.,2
fjjulk9,fdtswc,1,Felt interesting.,3
frw5sez,gr1q6c,1,Pretty interesting stuff.,4
dl073b6,6qtwfh,1,Interesting.,2
f3ff52m,dgu7t0,1,Interesting stuff.,3
evssc9c,cktxmv,1,Interesting.,2
g7abacf,j2yndk,1,Use the money you would have spent on a wedding on an awesome holiday once things settle someday!,19
fianr9n,f7cigr,1,Maybe plan to have a girl's night out or even a joint Jack and Jill Wedding shower.,19
gl776zd,l74scf,0,"I would have a small wedding, but save up to go to Hawaii in the future",17
gl58trt,l74scf,1,I'd rather save my money for a really cool honeymoon instead.,13
hdvyqx4,pt93vf,0,"If I were to ever win a lottery, I’d put money towards mine and my partners wedding",19
hdvz0po,pt93vf,0,"If I were to win a lottery, I’d just put money towards my and my partners wedding",19
hdxx86j,pt93vf,1,I would blow a BOATLOAD of money on my best friend’s wedding.,14
e3245eg,920flh,1,"Get a couples spa day for you and your partner, and then get your pictures taken in your wedding clothes.",22
g5bk5kc,iszxfx,0,Spend the money on the honeymoon.,7
e3249q6,920flh,1,"on your anniversary , dress in your wedding stuff again and hire a photographer - youll be less stressed and can really prepare for what you want..",29
dhu3w8l,6ceqiy,1,Also took a nice afternoon nap.,7
dm0jr2n,6vengz,0,Just woke up and need to go study,8
dqhjerg,7g9ous,1,"Then I went home, went for a long walk, returned and took a much-needed nap.",20
dedpqh0,5wx462,1,Then class ended up getting canceled today!,8
dxohogr,8dgo5z,1,"I got home, sat on the couch and passed out till the next morning.",16
drf1307,7kjtwz,1,Then I just lounged around home studying for my last final coming up on Wednesday.,16
dg2wbgj,64km9y,1,Accidentally slept in and missed my first lecture.,9
edw89cu,af3ycv,1,I used to fall asleep in class all the time just because I was tired.,16
fg2kmgi,ewhv5g,1,After I would get a bit of sleep then go to classes where sometimes I fell asleep.,18
