Emotion,Probability
Prepared,0.019824869071854087
Anticipating,0.020697973407822236
Hopeful,0.036211327253606804
Proud,0.028488404364321537
Excited,0.018402699122545146
Joyful,0.03168978692953808
Content,0.029883571086744866
Caring,0.01998538825389634
Grateful,0.015381338069899353
Trusting,0.025134003513419854
Confident,0.03694941545514689
Faithful,0.007338876995800998
Impressed,0.02021491568242405
Surprised,0.024214393620037595
Terrified,0.01141336389698569
Afraid,0.016671492243323077
Apprehensive,0.022243158057387857
Anxious,0.006803312995903011
Embarrassed,0.013495612725720724
Ashamed,0.015109805621771801
Devastated,0.003670938677171922
Sad,0.04265009668655404
Disappointed,0.009667155225049394
Lonely,0.011107327325615412
Sentimental,0.020711475021265042
Nostalgic,0.03819906478824219
Guilty,0.011885920367483914
Disgusted,0.011981931840854982
Furious,0.014233700927260808
Angry,0.013267585476464437
Annoyed,0.040609852877418855
Jealous,0.05147715151960659
Agreeing,0.037379966906045274
Acknowledging,0.06083376963547144
Encouraging,0.019943383234296497
Consoling,0.012783027571794829
Sympathizing,0.0034549128620870195
Suggesting,0.04478035125197461
Questioning,0.07726973373318112
Wishing,0.023113262034813162
Neutral,0.03082568366919847
